City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
526,portland,45.5234,-122.6762,292.31,71,75,3.09,US,1695943191
527,tumayr,25.7039,45.868,299.76,16,0,2.59,SA,1695943363
528,great falls,47.5002,-111.3008,291.69,31,0,7.72,US,1695943319
529,moyale,3.5167,39.0584,295.41,53,12,2.14,KE,1695943366
530,maffra,-37.9667,146.9833,292.11,21,37,1.98,AU,1695943367
531,urumqi,43.801,87.6005,283.68,50,0,3.0,CN,1695943368
532,turgen,43.4006,77.5933,286.22,52,99,2.04,KZ,1695943369
533,kourou,5.1552,-52.6478,301.18,78,7,6.29,GF,1695943371
534,bodo,67.28,14.405,286.36,86,100,3.09,NO,1695943372
535,raymondville,26.4815,-97.7831,306.21,53,50,6.77,US,1695943373
536,paradip garh,20.3167,86.6167,300.14,85,92,2.77,IN,1695943374
537,najran,17.4924,44.1277,295.51,23,61,0.8,SA,1695943375
538,junction city,39.0286,-96.8314,308.07,32,0,5.66,US,1695943377
539,laojunmiao,39.8333,97.7333,281.05,39,0,2.46,CN,1695943379
540,farkhar,36.5729,69.8578,285.75,67,97,1.17,AF,1695943380
541,faridkot,30.6667,74.75,295.83,53,0,1.78,IN,1695943382
542,taos,36.4072,-105.5731,298.46,19,0,7.72,US,1695943384
543,las lomitas,-24.7096,-60.593,294.99,33,0,2.58,AR,1695943385
544,yorkton,51.2167,-102.4677,293.06,37,40,6.69,CA,1695943386
545,aconibe,1.2968,10.9369,293.44,100,100,0.94,GQ,1695943387
546,alofi,-19.0595,-169.9187,300.09,74,75,3.6,NU,1695943390
547,khandyga,62.6667,135.6,277.85,78,100,1.07,RU,1695943391
548,shalya,57.2471,58.7298,282.44,85,100,3.29,RU,1695943392
549,sisimiut,66.9395,-53.6735,274.24,84,96,1.71,GL,1695943393
550,gannan,47.9147,123.5031,284.31,62,10,2.36,CN,1695943394
551,manta,-0.95,-80.7333,298.03,78,40,4.12,EC,1695943397
552,kirksville,40.1948,-92.5833,299.85,48,0,4.63,US,1695943398
553,kintampo,8.0563,-1.7306,296.67,93,60,1.92,GH,1695943399
554,kristiansund,63.1115,7.732,287.51,88,75,0.0,NO,1695943400
555,waynesboro,38.0685,-78.8895,291.56,81,0,1.54,US,1695943402
556,ghogha,21.6833,72.2833,301.51,79,97,1.52,IN,1695943403
557,ljusdal,61.8288,16.0913,286.5,95,75,3.15,SE,1695943404
558,balakhta,55.38,91.6,279.92,75,100,1.44,RU,1695943405
559,torghay,49.6339,63.4981,284.74,59,46,3.41,KZ,1695943407
560,natal,-5.795,-35.2094,298.27,83,0,2.57,BR,1695943403
561,papao,-17.75,-149.55,300.97,85,6,9.37,PF,1695943409
562,sevastopol,44.6,33.5333,290.37,61,81,2.68,UA,1695943410
563,constitucion,-35.3333,-72.4167,284.82,78,0,5.99,CL,1695943397
564,saint-francois,46.4154,3.9054,290.19,94,0,2.57,FR,1695943205
565,playa blanca,28.8643,-13.8281,298.26,79,97,6.83,ES,1695943414
566,olinda,-8.0089,-34.8553,299.0,73,20,2.57,BR,1695943415
567,estevan,49.1334,-102.9842,294.26,26,0,7.2,CA,1695943416
568,valparaiso,-33.0393,-71.6273,287.95,76,0,6.17,CL,1695943417
569,la ronge,55.1001,-105.2842,289.27,63,75,2.06,CA,1695943418
570,minatitlan,17.9833,-94.5167,302.2,84,40,5.14,MX,1695943397
571,chazuta,-6.5742,-76.1367,307.62,81,97,0.53,PE,1695943421
572,jinghong,21.991,100.7341,294.75,99,99,0.73,CN,1695943422
573,jurmala,56.968,23.7704,290.36,88,0,2.57,LV,1695943423
574,aras-asan,8.8908,126.3033,299.74,83,95,2.18,PH,1695943424
575,puerto aysen,-45.4,-72.7,276.83,99,61,1.36,CL,1695943426
